2026-01-15 09:23:15,666 | INFO | admin - admin_menu
2026-01-15 09:24:06,961 | INFO | admin - admin_menu
2026-01-15 09:25:41,633 | INFO | anasxon - student_menu
2026-01-15 09:53:50,512 | INFO | qwerty - teacher_menu
2026-01-15 09:54:27,338 | INFO | qwerty - teacher_menu
2026-01-15 10:04:54,932 | INFO | admin - admin_menu
2026-01-15 10:06:25,873 | INFO | qwerty - teacher_menu
2026-01-15 10:06:50,787 | INFO | anasxon - student_menu
2026-01-15 10:20:33,739 | INFO | admin - admin_menu
2026-01-15 10:31:00,233 | INFO | anasxon - teacher_menu
2026-01-15 10:34:17,353 | INFO | xojiakbar - student_menu
2026-01-15 11:11:42,157 | INFO | anasxon - teacher_menu
2026-01-15 11:12:22,677 | INFO | xojiakbar - student_menu
